City/area,Microterritorial Unit,Category,Sub-category,Indicator,Year,Value,Unit,Comments,Source,DOI,URL
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1824,1.39,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1825,1.4,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1826,1.41,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1827,1.42,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1828,1.43,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1829,1.44,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1830,1.45,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1831,1.49,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1832,1.53,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1833,1.56,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1834,1.6,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1835,1.64,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1836,1.68,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1837,1.72,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1838,1.76,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1839,1.79,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1840,1.82,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1841,1.86,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1842,1.89,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1843,1.93,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1844,1.96,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1845,2,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1846,2.03,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1847,2.07,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1848,2.1,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1849,2.14,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1850,2.18,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1851,2.21,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1852,2.25,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1853,2.29,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1854,2.33,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1855,2.37,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1856,2.4,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1857,2.44,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1858,2.48,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1859,2.54,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1860,2.59,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1861,2.65,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1862,2.7,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1863,2.76,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1864,2.81,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1865,2.87,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1866,2.93,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1867,2.98,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1868,3.04,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1869,3.08,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1870,3.12,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1871,3.17,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1872,3.21,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1873,3.26,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1874,3.29,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1875,3.33,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1876,3.37,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1877,3.41,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1878,3.45,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1879,3.49,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1880,3.53,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1881,3.62,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1882,3.7,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1883,3.79,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1884,3.88,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1885,3.96,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1886,4.05,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1887,4.14,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1888,4.23,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1889,4.31,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1890,4.4,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1891,6.83,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1892,6.98,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1893,7.14,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1894,7.3,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1895,7.45,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1896,7.61,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1897,7.77,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1898,7.93,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1899,8.08,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1900,8.24,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1901,8.46,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1902,8.68,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1903,8.9,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1904,9.13,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1905,9.35,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1906,9.58,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1907,9.81,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1908,10.03,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1909,10.26,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1910,10.5,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1911,10.46,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1912,0,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1913,0,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1914,0,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1915,0,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1916,0,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1917,0,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1918,0,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1919,8.63,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1920,8.76,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1921,9.08,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
